,博物馆名称,新闻来源,新闻标题,简介内容,次级新闻网站,新闻发布时间
3484,北京大葆台西汉墓博物馆,文一之声,你知道北京丰台的这座古代汉墓吗,"一个晴和的日子,我骑车去了丰台的大葆台汉墓遗址博物馆。 大葆台西汉墓葬博物馆是我国第一座汉代墓葬博物馆,不少陈列物品都是第一次出土的珍品。博物馆的一号基本展馆对外免费参观,墓主为西汉广阳王刘建。与我所知的明清皇陵相比,汉...",https://baijiahao.baidu.com/s?id=1625859441307488704&wfr=spider&for=pc,"('2月19日', 2160)"
3485,北京大葆台西汉墓博物馆,网易订阅,北京文博 & 局属博物馆“5.18国际博物馆”系列活动精彩回顾,"北京市大葆台西汉墓博物馆 博物馆日期间,北京市大葆台西汉墓博物馆将展览由线下转为线上,先后在抖音、腾讯微视平台发布了以“随时随地赏文物,把博物馆带回家”为主题的文物系列视频,通过图文、声音、视频形式向观众讲述了30余件大葆...",https://dy.163.com/article/FDT3D9QU0517MQI3.html,"('5月30日', 2160)"
3486,北京大葆台西汉墓博物馆,中国新闻网,北京建设博物馆之城:94项主题活动 个性化文化服务,"此外,故宫博物院推出《贺岁迎祥——紫禁城里过大年》、中国国家博物馆推出《伟大的变革——庆祝改革开放40周年大型展览》等线上展览;周口店北京人遗址博物馆、中国园林博物馆、北京古代建筑博物馆、北京市大葆台西汉墓博物馆等推出线上360...",https://www.chinanews.com/cul/2020/05-18/9187239.shtml,"('5月18日', 2160)"
3487,北京大葆台西汉墓博物馆,中国青年报,博物馆日开展94项主题活动 北京打造“博物馆之城”,纪念馆联盟推出《平等·多元·包容——文化名人的艺术世界》线上巡展将带领观众感受文化名人追求独立自主、科学真理的伟大精神;周口店北京人遗址博物馆、中国园林博物馆、北京古代建筑博物馆、北京市大葆台西汉墓博物馆等多家博物馆推出线...,http://news.cyol.com/app/2020-05/14/content_18612867.htm,"('5月14日', 2160)"
3488,北京大葆台西汉墓博物馆,光明网,北京地区博物馆国庆节文化活动来啦!,"简介:梁启超在《少年中国说》中说:“少年强则国强。”北京市大葆台西汉墓博物馆在新中国成立70周年之际,组织北京市部分中小学生以自己的镜头,记录新中国建设成就,向新中国70年奋斗历程致以最崇高的敬意。摄影作品以青少年为拍摄主体,用...",https://life.gmw.cn/2019-09/29/content_33199436.htm,"('9月29日', 2160)"
3489,北京大葆台西汉墓博物馆,上观,北京各大博物馆举办丰富多彩活动迎中秋,"此外,孔庙和国子监博物馆将推出中秋节传统文化活动,通过文化展板展示、碑拓体验等活动,为民众提供享受传统节日文化盛宴的机会。 中秋节期间,一些博物馆以“中秋团圆”为核心,走进社区与民众一起共度中秋佳节。北京大葆台西汉墓博物馆将展览...",https://www.jfdaily.com/news/detail?id=106934,"('9月22日', 2160)"
3490,北京大葆台西汉墓博物馆,北京文博,北京文博 | 一分钟看文博信息“5.18国际博物馆日特别版”,17、北京文博交流馆举办“博物馆之夜”活动 18、北京市白塔寺管理处举办公益文化助残系列活动 19、北京辽金城垣博物馆《中国古代纺织展》走进首医大附小 20、北京市大葆台西汉墓博物馆举办“新方法新公众”国际博物馆日博物馆体验活动 ...,https://baijiahao.baidu.com/s?id=1600895595975572328&wfr=spider&for=pc,"('5月19日', 2160)"
3491,北京大葆台西汉墓博物馆,全球博物馆,"5.18国际博物馆日,相约大北京燥起来!",北京市古代钱币展览馆 《钱币文化之旅》系列巡回展览 20元/人，518当天免费 展览 11 2018年5月 北京博物馆联合巡展进校园（待定）展览 12 2018年5月18日 北京市白塔寺管理处 “探古都风采，忆京城故事”公益文化助残系列活动启动仪式...,https://baijiahao.baidu.com/s?id=1600632843477122217&wfr=spider&for=pc,"('5月17日', 2160)"
3492,北京大葆台西汉墓博物馆,人民日报,北京99家博物馆18号免费开放 最全的活动清单在这里,地点：故宫博物院（午门及西雁翅楼展厅）此次展览共设两大部分：“瑰丽梵星”和“皇室臻选”，中国公众将得以近距离欣赏由卡塔尔皇室成员谢赫·哈马德·本·阿卜杜拉·阿勒萨尼殿下收藏的270件珠宝和280件稀世珍品。中国国家博物馆 《司徒乔...,https://baijiahao.baidu.com/s?id=1600355246537672340&wfr=spider&for=pc,"('5月13日', 2160)"
3493,北京大葆台西汉墓博物馆,中国台湾网,就要“一毛不拔” 盘点北京免费博物馆,"北京大葆台西汉墓博物馆 地址:丰台区花乡郭公庄世界公园东南,距北京城15公里 简介:博物馆是在距今两千多年前西汉广阳倾王刘建(公元前73年至公元前45年)的地下宫殿原址上建立起来的。主要展示内容:地宫原址及出土文物;中国历代帝王陵展览...",http://www.taiwan.cn/dlly/xzyj/201008/t20100818_1494903.htm,"('8月18日', 2160)"
3494,北京大葆台西汉墓博物馆,中国政府网,北京18个公园博物馆今起免费开放,"免费开放的6个博物馆包括:北京麋鹿苑、北京西周燕都遗址博物馆、北京大葆台西汉墓博物馆、北京辽金城垣博物馆、北京团城演武厅管理处、海淀博物馆。免费开放后,北京市、区两级财政将给予免费开放的公园和博物馆补贴,以保证公园和博物馆...",http://www.gov.cn/jrzg/2006-07/01/content_325214.htm,"('7月1日', 2160)"
3495,北京大葆台西汉墓博物馆,搜狐网,博物馆里的思政课:把爱国情怀根植在孩子心中,"为庆祝新中国成立71周年,在广大青少年心中根植爱国情怀,增强他们的民族自豪感,9月26日上午,北京市大葆台西汉墓博物馆举办了以“向国旗敬礼,为祖国祝福”为主题的迎国庆活动。 50余名中小学生和家长相聚在博物馆的中华优秀传统文化教室,...",https://www.sohu.com/a/421179136_115402,"('9月27日', 2160)"
3496,北京大葆台西汉墓博物馆,搜狐网,谁说单身不能过七夕?博物馆邀你来体验奇妙夜!,🔺北京市大葆台西汉墓博物馆 图片来自于网络 侵删 参观者可以和大家一起制作七夕乞巧彩灯。 八、在城垣下听古人的悄悄话 北京辽金城垣博物馆将在七夕当天延长开放至18:00。 🔺北京辽金城垣博物馆 图片来自于网络 侵删 ...,https://www.sohu.com/a/414685903_120005162,"('8月24日', 2160)"
3497,北京大葆台西汉墓博物馆,北京市人民政府,博物馆助力文化消费 为消费季增姿添色,"博物馆如何在""夜间经济""中有所作为? 2020年8月3日-7日,为落实市委、市政府""全面重启北京消费季""的部署,以文物文化赋彩经济生活,助力消费季,北京市大葆台西汉墓博物馆传统文化体验活动带到了资和信百货的""北京消费季资色生活节""。活...",http://www.beijing.gov.cn/renwen/jrbj/202008/t20200806_1975346.html,"('8月6日', 2160)"
3498,北京大葆台西汉墓博物馆,腾讯网,"天津人,躺在床上也能逛博物馆?只要动动手指戳这里",128.北京市大葆台西汉墓博物馆3D在线展厅 北京市大葆台西汉墓博物馆 129.辽中京博物馆虚拟展览 辽中京博物馆 130.内蒙古自治区将军衙署博物院虚拟博物馆 内蒙古自治区将军衙署博物院 131.鄂尔多斯青铜器博物馆全景展厅 ...,https://new.qq.com/omn/20200213/20200213A099L700.html,"('2月13日', 2160)"
3499,北京大葆台西汉墓博物馆,环球网,国家文物局推送第三批全国博物馆网上展览资源,长沙博物馆 125.翟门生的世界 深圳市南山博物馆 126.伟大壮举 辉煌历程 重庆三峡移民纪念馆 数字全景展厅 127.平北抗日烈士纪念园数字博物馆（PC端）平北抗日烈士纪念馆 128.北京市大葆台西汉墓博物馆3D在线展厅 北京市大葆台西汉墓...,https://baijiahao.baidu.com/s?id=1657839158385188281&wfr=spider&for=pc,"('2月7日', 2160)"
3500,北京大葆台西汉墓博物馆,央广网,"博物馆全球""第二多""之城 千年古都的""超级链接"" 梦","对于生活在海南的中学生来说,能来到北京一睹汉代墓地的机会并不多。2017年,海南昌江黎族自治县思源实验学校的历史老师符小慧联系上北京大葆台西汉墓博物馆,希望对方能够为她指导的“汉文化兴趣班”学生社团提供一些帮助。 ",http://news.cnr.cn/native/gd/20180518/t20180518_524238683.shtml,"('5月18日', 2160)"
