,新闻好坏
1108,Postive
1109,Postive
1110,Postive
1111,Postive
1112,Postive
1113,Postive
1114,Postive
1115,Postive
1116,Postive
1117,Postive
1118,Postive
1119,Negetive
1120,Negetive
1121,Postive
1122,Postive
1123,Postive
1124,Postive
1125,Negetive
1126,Negetive
1127,Postive
1128,Negetive
1129,Postive
1130,Postive
1131,Postive
1132,Postive
1133,Postive
1134,Postive
1135,Postive
1136,Postive
1137,Postive
1138,Postive
1139,Negetive
1140,Postive
1141,Postive
1142,Postive
1143,Postive
1144,Postive
1145,Postive
1146,Postive
1147,Negetive
1148,Postive
1149,Negetive
1150,Postive
1151,Postive
1152,Postive
1153,Postive
1154,Postive
1155,Postive
1156,Postive
1157,Postive
1158,Postive
1159,Postive
1160,Postive
1161,Postive
1162,Postive
1163,Postive
1164,Postive
1165,Postive
1166,Postive
1167,Postive
1168,Postive
1169,Postive
1170,Postive
1171,Postive
1172,Postive
1173,Postive
1174,Postive
1175,Postive
1176,Postive
1177,Postive
1178,Postive
1179,Postive
1180,Postive
1181,Postive
1182,Negetive
1183,Postive
1184,Postive
1185,Postive
1186,Postive
1187,Postive
1188,Postive
1189,Postive
1190,Negetive
1191,Postive
1192,Negetive
1193,Postive
1194,Postive
1195,Postive
1196,Postive
1197,Postive
1198,Postive
1199,Postive
1200,Postive
1201,Postive
1202,Postive
1203,Postive
1204,Postive
1205,Negetive
1206,Postive
1207,Postive
1208,Postive
1209,Postive
1210,Postive
1211,Postive
1212,Negetive
1213,Postive
1214,Postive
1215,Postive
1216,Postive
1217,Postive
1218,Postive
1219,Postive
1220,Postive
1221,Postive
1222,Postive
1223,Postive
1224,Postive
1225,Postive
1226,Postive
1227,Postive
1228,Postive
1229,Postive
1230,Postive
1231,Postive
1232,Postive
1233,Postive
1234,Postive
1235,Postive
1236,Postive
1237,Postive
1238,Postive
1239,Postive
1240,Postive
1241,Postive
1242,Postive
1243,Postive
1244,Postive
1245,Postive
1246,Negetive
1247,Postive
1248,Postive
1249,Postive
1250,Postive
1251,Postive
1252,Postive
1253,Postive
1254,Negetive
1255,Postive
1256,Postive
1257,Postive
1258,Postive
1259,Postive
1260,Postive
1261,Postive
1262,Postive
1263,Postive
1264,Postive
1265,Postive
1266,Postive
1267,Postive
1268,Postive
1269,Postive
1270,Postive
1271,Postive
1272,Postive
1273,Postive
1274,Postive
1275,Postive
1276,Postive
1277,Postive
1278,Postive
1279,Postive
1280,Postive
1281,Postive
1282,Postive
1283,Postive
1284,Postive
1285,Postive
1286,Postive
1287,Postive
1288,Postive
1289,Postive
1290,Postive
1291,Postive
1292,Postive
1293,Postive
1294,Postive
1295,Postive
1296,Postive
1297,Postive
1298,Postive
1299,Postive
1300,Postive
1301,Postive
1302,Postive
1303,Postive
1304,Postive
1305,Postive
1306,Postive
1307,Postive
1308,Postive
1309,Postive
1310,Negetive
1311,Negetive
1312,Postive
1313,Postive
1314,Postive
1315,Postive
1316,Postive
1317,Postive
1318,Postive
1319,Postive
1320,Postive
1321,Postive
1322,Postive
1323,Postive
1324,Postive
1325,Postive
1326,Postive
1327,Postive
1328,Postive
1329,Postive
1330,Postive
1331,Postive
1332,Postive
1333,Postive
1334,Postive
1335,Postive
1336,Postive
1337,Postive
1338,Postive
1339,Postive
1340,Postive
1341,Postive
1342,Postive
1343,Postive
1344,Postive
1345,Postive
1346,Postive
1347,Postive
1348,Postive
1349,Postive
1350,Postive
1351,Postive
1352,Postive
1353,Postive
1354,Postive
1355,Postive
1356,Postive
1357,Postive
1358,Postive
1359,Postive
1360,Postive
1361,Postive
1362,Postive
1363,Postive
1364,Postive
1365,Postive
1366,Postive
1367,Postive
1368,Postive
1369,Postive
1370,Negetive
1371,Postive
1372,Postive
1373,Postive
1374,Postive
1375,Postive
1376,Postive
1377,Postive
1378,Postive
1379,Postive
1380,Postive
1381,Postive
1382,Postive
1383,Postive
1384,Postive
1385,Postive
1386,Postive
1387,Postive
1388,Postive
1389,Postive
1390,Postive
1391,Postive
1392,Postive
1393,Postive
1394,Postive
1395,Postive
1396,Postive
1397,Postive
1398,Postive
1399,Postive
1400,Postive
1401,Postive
1402,Postive
1403,Postive
1404,Postive
1405,Postive
1406,Postive
1407,Postive
1408,Postive
1409,Postive
1410,Postive
1411,Negetive
1412,Postive
1413,Postive
1414,Postive
1415,Postive
1416,Postive
1417,Postive
1418,Postive
1419,Postive
1420,Postive
1421,Postive
1422,Postive
1423,Postive
1424,Postive
1425,Postive
1426,Postive
1427,Postive
1428,Postive
1429,Postive
1430,Postive
1431,Postive
1432,Postive
1433,Postive
1434,Postive
1435,Postive
1436,Postive
1437,Postive
1438,Postive
1439,Postive
1440,Postive
1441,Postive
1442,Postive
1443,Postive
1444,Postive
1445,Postive
1446,Postive
1447,Postive
1448,Postive
1449,Postive
1450,Postive
1451,Postive
1452,Postive
1453,Postive
1454,Postive
1455,Postive
1456,Postive
1457,Postive
1458,Postive
1459,Postive
1460,Postive
1461,Postive
1462,Negetive
1463,Postive
1464,Postive
1465,Postive
1466,Postive
1467,Negetive
1468,Postive
1469,Postive
1470,Postive
1471,Postive
1472,Postive
1473,Postive
1474,Postive
1475,Postive
1476,Postive
1477,Postive
1478,Postive
1479,Postive
1480,Postive
1481,Postive
1482,Postive
1483,Postive
1484,Postive
1485,Postive
1486,Negetive
1487,Postive
1488,Postive
1489,Postive
1490,Postive
1491,Postive
1492,Postive
1493,Postive
1494,Negetive
1495,Postive
1496,Postive
1497,Postive
1498,Postive
1499,Postive
1500,Postive
1501,Postive
1502,Postive
1503,Postive
1504,Postive
1505,Postive
1506,Postive
1507,Postive
1508,Postive
1509,Postive
1510,Postive
1511,Postive
1512,Postive
1513,Postive
1514,Postive
1515,Negetive
1516,Postive
1517,Postive
1518,Postive
1519,Postive
1520,Postive
1521,Postive
1522,Postive
1523,Postive
1524,Postive
1525,Postive
1526,Postive
1527,Postive
1528,Postive
1529,Postive
1530,Postive
1531,Postive
1532,Postive
1533,Postive
1534,Postive
1535,Postive
1536,Postive
1537,Postive
1538,Postive
1539,Postive
1540,Postive
1541,Postive
1542,Postive
1543,Postive
1544,Negetive
1545,Postive
1546,Negetive
1547,Postive
1548,Postive
1549,Postive
1550,Postive
1551,Postive
1552,Postive
1553,Postive
1554,Postive
1555,Postive
1556,Negetive
1557,Postive
1558,Postive
1559,Postive
1560,Postive
1561,Postive
1562,Postive
1563,Postive
1564,Postive
1565,Postive
1566,Postive
1567,Negetive
1568,Postive
1569,Negetive
1570,Postive
1571,Postive
1572,Negetive
1573,Postive
1574,Negetive
1575,Postive
1576,Negetive
1577,Negetive
1578,Postive
1579,Postive
1580,Postive
1581,Postive
1582,Negetive
1583,Postive
1584,Postive
1585,Postive
1586,Postive
1587,Postive
1588,Postive
1589,Postive
1590,Postive
1591,Postive
1592,Postive
1593,Postive
1594,Postive
1595,Postive
1596,Postive
1597,Postive
1598,Negetive
1599,Postive
1600,Postive
1601,Postive
1602,Postive
1603,Postive
1604,Postive
1605,Postive
1606,Postive
1607,Postive
1608,Postive
1609,Postive
1610,Postive
1611,Postive
1612,Postive
1613,Negetive
1614,Negetive
1615,Postive
1616,Postive
1617,Negetive
1618,Postive
1619,Postive
1620,Negetive
1621,Postive
1622,Postive
1623,Postive
1624,Postive
1625,Postive
1626,Postive
1627,Postive
1628,Negetive
1629,Postive
1630,Postive
1631,Postive
1632,Postive
1633,Postive
1634,Negetive
1635,Postive
1636,Postive
1637,Postive
1638,Postive
1639,Postive
1640,Postive
1641,Postive
1642,Postive
1643,Postive
1644,Postive
1645,Postive
1646,Postive
1647,Postive
1648,Postive
1649,Postive
1650,Postive
1651,Postive
1652,Postive
1653,Postive
1654,Postive
1655,Postive
1656,Postive
1657,Negetive
1658,Postive
1659,Postive
1660,Postive
1661,Negetive
1662,Negetive
1663,Postive
1664,Postive
1665,Postive
1666,Postive
1667,Negetive
1668,Negetive
1669,Postive
1670,Postive
1671,Postive
1672,Postive
1673,Postive
1674,Postive
1675,Postive
1676,Postive
1677,Postive
1678,Postive
1679,Postive
1680,Postive
1681,Postive
1682,Postive
1683,Postive
1684,Postive
1685,Postive
1686,Postive
1687,Postive
1688,Postive
1689,Postive
1690,Postive
1691,Negetive
1692,Postive
